district,address,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Xuhui,东安路35号,5800.0,1,1,1,0,70,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,定西路680号,5800.0,1,1,1,0,45,0,public housing,residential,0,0,0,0,1,0,0,0,1
Xuhui,永康路109弄3号,5800.0,1,0,1,0,35,0,detached lane house,residential,0,1,1,0,1,0,0,0,3
Putuo,光复西路65号,5800.0,2,1,1,0,50,0,public housing,residential,0,1,0,0,1,0,0,0,2
Xuhui,北居委路62弄,5800.0,1,1,1,0,30,0,public housing,residential,1,0,0,0,0,0,1,0,2
Jing'an,康定路1299弄17号,5800.0,1,1,1,0,55,0,public housing,multi-use,0,0,0,0,1,0,0,0,1
Xuhui,永康路171号,5800.0,1,1,1,0,28,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,天山五村16号,5800.0,1,1,1,0,35,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,云雾山路221弄29号,5800.0,1,0,1,0,35,0,public housing,residential,0,1,1,0,0,0,0,0,2
Pudong,乳山路108号,5800.0,1,1,1,0,42,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Huangpu,淡水路229弄6号,5800.0,1,1,1,1,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,自忠路23弄2号,5800.0,1,1,1,0,32,0,detached lane house,residential,0,0,0,0,0,0,0,0,0
Changning,长宁路405弄2号,5800.0,1,1,1,0,50,0,public housing,residential,0,1,1,0,1,0,0,0,3
Huangpu,复兴中路565弄22号,5800.0,1,1,1,0,35,0,public housing,residential,0,1,0,0,0,0,0,0,1
Xuhui,虹桥路693弄17号,5800.0,1,1,1,0,36,0,public housing,residential,1,1,0,0,0,0,0,0,2
Huangpu,宁波路120弄14号,5800.0,1,1,1,0,40,0,public housing,residential,0,1,0,0,0,0,0,0,1
Xuhui,襄阳南路306弄16号,5800.0,1,1,1,0,30,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Jing'an,陕西北路835弄28号,5800.0,1,1,1,1,40,0,attached lane house,multi-use,0,1,0,0,0,0,0,0,1
Pudong,博山路78弄,5830.0,2,1,1,0,66,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,淮海中路1487弄,5888.0,1,0,1,0,15,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,建国西路355弄4号,5900.0,1,0,1,0,30,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,宜山路697号,5900.0,1,0,1,0,30,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,湖南路289号,5900.0,1,0,1,0,40,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,天钥桥路180弄,5900.0,1,1,1,0,45,0,attached lane house,residential,1,0,0,0,0,0,0,0,1
Xuhui,斜土路1480弄66号,5900.0,1,0,1,0,35,0,public housing,residential,0,1,0,0,0,0,0,0,1
Pudong,永泰路2079弄5号,5940.0,2,2,1,0,80,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,宛平路189弄4号,6000.0,1,0,1,1,36,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Minhang,保乐路666弄76号,6000.0,3,1,1,0,85,0,public housing,residential,0,1,1,1,0,0,0,0,3
Xuhui,南丹路333弄8号,6000.0,1,0,1,0,30,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,万航渡路2505弄62号,6000.0,2,1,1,0,58,0,public housing,residential,0,1,0,0,0,0,0,0,1
Xuhui,天平路212弄5号,6000.0,1,1,1,1,40,0,attached lane house,residential,0,0,0,1,0,1,0,0,2
Putuo,曹杨八村157号,6000.0,2,0,1,0,50,0,public housing,residential,0,1,0,0,0,0,0,0,1
Xuhui,高安路18弄5号,6000.0,1,1,1,0,30,0,detached lane house,residential,0,0,0,0,0,0,0,0,0
Xuhui,常熟路188弄9号,6000.0,1,1,1,0,35,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Xuhui,太原路165弄21号,6000.0,1,1,1,0,45,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,天山五村16号,6000.0,1,1,1,0,35,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,复兴中路553弄70号,6000.0,1,1,1,0,45,0,detached lane house,residential,1,1,1,1,0,0,0,0,4
Xuhui,复兴中路1317弄1号,6000.0,1,0,1,0,35,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Jing'an,延安中路913弄112号,6000.0,1,1,1,0,33,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Jing'an,延安中路913弄89号,6000.0,1,1,1,0,40,0,attached lane house,residential,1,1,1,0,0,0,0,0,3
Pudong,浦东南路1288号,6000.0,1,1,1,0,45,0,public housing,multi-use,1,1,1,1,0,0,0,0,4
Xuhui,丰谷路300弄5号,6000.0,2,1,1,0,68,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,建国中路145号,6000.0,1,1,1,0,50,0,detached lane house,residential,0,0,0,0,0,1,0,0,1
Huangpu,滇池路119号,6000.0,2,1,1,0,45,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,自忠路33号,6000.0,1,1,1,0,30,0,detached lane house,residential,0,0,0,0,0,0,0,0,0
Jing'an,胶州路208弄5号,6000.0,1,0,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,建国西路56弄,6000.0,1,1,1,0,40,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Changning,华山路1006弄22号,6000.0,1,0,1,0,35,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Jing'an,虬江路888弄11号,6000.0,1,1,1,0,50,0,public housing,multi-use,0,1,0,1,0,0,0,0,2
Huangpu,进贤路191号,6000.0,1,1,1,0,45,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,巨鹿路614弄614号,6000.0,1,0,1,0,35,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,威海路830号,6000.0,1,0,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,清真路99弄7号,6000.0,1,0,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,中山南二路988弄9号,6000.0,1,1,1,0,40,0,public housing,residential,1,1,1,1,1,0,0,0,5
Jing'an,新闸路1124弄,6000.0,1,1,1,0,35,0,detached lane house,residential,1,1,0,1,0,0,1,0,4
Huangpu,长乐路93弄1号,6000.0,1,1,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,长乐路613弄8号,6000.0,1,0,1,0,30,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
