,Unnamed: 0,district,complex_name,rental_period,use_type,building_type,floor,layout,sqmeters,address,price,amenities,descript,address_translate
4,4,徐汇-老法租界,兴顺东里,长租,住宅,新式里弄,*/3层,1室1厅1卫,29平米,永康路37弄32号二楼朝南间,5500.0,"['暖气', '空调', '浴缸', '', '']","['永康路37弄', '32号2楼朝南正间', '可从嘉善路兴顺东里小区入口进', '看房随时', '钥匙在襄阳南路361号缙腾地产']",永康路37弄32号
27,27,黄浦-打浦桥,曲园,长租,住宅/工作室,老洋房,*/3层,1室2厅1卫,70平米,建国西路56弄35号,14500.0,"['暖气', '户外空间', '空调', '独卫']","['独用花园40平米', '地暖', '可以住家', '也可以做简单工作室', '6月底空出', '预约可安排看房']",建国西路56弄35号
34,34,徐汇-老法租界,,长租,住宅,老公房,*/5层,1室1厅1卫,50平米,五原路87弄9号102,8500.0,[],[],五原路87弄9号
35,35,徐汇-老法租界,,长租,住宅/工作室,老公房,*/6层,2室2厅2卫,98平米,宛平路6弄3号101,25000.0,"['户外空间', '空调', '独卫', '阳台']","['小区安静整洁', '出行方便']",宛平路6弄3号
36,36,徐汇-老法租界,福禄邨,长租,住宅,老洋房,*/3层,1室0厅1卫,28平米,建国西路384弄1号福禄邨,5800.0,"['暖气', '', '空调', '独卫']","['建国西路384弄26号2楼', '1室1卫开发式厨房', '烤箱', '冰箱', '暖气', '空调', '厨房', '卫生套内', '新装修', '随时看房随时起租', '可以做民宿']",建国西路384弄1号
39,39,徐汇-老法租界,,长租,住宅,老公房,*/5层,2室1厅1卫,45平米,襄阳南路452弄149号103室,8500.0,"['空调', '独卫', 'WIFI']","['公房一楼南北两房一厅', '智能马桶', '烘干机', '阳光房8500元', '月', '附近地铁线1', '9', '10', '12', '交通方面', '菜市场', '医院', '紧邻附近']",襄阳南路452弄149号
41,41,黄浦-人民广场,,长租,住宅,新式里弄,*/3层,2室1厅1卫,45平米,威海路190弄6号201,7500.0,"['空调', '独卫']","['看房随时', '钥匙在威海路186号意直地产']",威海路190弄6号
42,42,静安-南京西路,,长租,住宅/工作室,老洋房,整栋,2室1厅1卫,100平米,西康路356号,20800.0,[],"['曼妙投资作品', '西康路356号沿街二楼整层', '靠近武定路新闸路路口', '房间有超大西式厨房', '美食摄影工作室最佳', '可办公', '美甲', '画室', '婚纱', '没有转让费', '图片真实', '南京路商业圈', '楼下就是肯德基和酒吧', '地段无敌', '实用面积100平米']",西康路356号
47,47,静安-静安寺,,长租,住宅,新式里弄,*/3层,2室2厅1卫,90平米,康定路754号1楼,14000.0,"['暖气', '户外空间', '空调', '独卫']","['房子靠近7号线昌平路地铁站', '出行很方便']",康定路754号
51,51,黄浦-人民广场,无锡小区,长租,住宅,新式里弄,*/3层,2室1厅1卫,35平米,山西南路339号后门3楼,5000.0,"['独卫', '空调']","['山西南路339号后门3楼', '复式两房一厅一厨一卫', '可以居家', '可以宿舍', '看房提前约', '租客转租']",山西南路339号
52,52,徐汇-徐家汇,天平路212弄,长租,住宅,,*/3层,1室1厅1卫,20平米,天平路212弄3号3楼,4000.0,"['空调', '独卫']","['天平路212弄3号3楼', '一室户', '租客转租', '看房提前约']",天平路212弄3号
54,54,徐汇-老法租界,福德坊,长租,住宅,新式里弄,整栋,1室1厅1卫,35平米,建国西路336弄18号福德坊二楼,7500.0,"['浴缸', '', '空调', '独卫', '暖气']","['市中心', '老法租界地段', '新式里弄老洋房建筑', '房内设施齐全', '自住高标准装修', '大业主直租', '地处建国西路靠近襄阳南路', '地铁12号线', '9号线嘉善路站步行8分钟', '10号线陕西南路站步行15分钟', '周边生活设施齐全便捷', '淮海路商圈如IAPM', '15分钟步行路程', '徐家汇商圈10分钟车程', '周围各路打卡网红餐厅', '面包咖啡店及精品小店等']",建国西路336弄18号
66,66,徐汇-建国西路,,长租,住宅,新式里弄,*/2层,1室1厅1卫,20平米,襄阳南路510弄2号,5200.0,"['', '空调', '', '', '']",[],襄阳南路510弄2号
85,85,虹口-江湾镇,积善里,长租,住宅,新式里弄,*/3层,2室2厅1卫,90平米,山阴路340弄,11000.0,[],"['大虹口', '老租界', '山阴路340弄', '积善里', '沿马路', '近四川北路', '溧阳路', '鲁迅故居', '步行至3号4号8号线地铁10分钟左右', '两房两厅一卫', '报价11K', '看房方便']",山阴路340弄
86,86,静安-南京西路,太和坊,长租,住宅,新式里弄,*/3层,1室1厅15卫,50平米,武定路78弄,8600.0,"['暖气', '户外空间', '空调', '独卫']","['目前有租客', '需要提前预约看房', '下月上旬到期', '一楼落地大玻璃', '全地暖', '带院子', '小区安静清爽', '老石库门建筑']",武定路78弄
87,87,徐汇-老法租界,,长租,住宅/工作室,老公房,*/5层,3室2厅2卫,120平米,高安路2弄3号,25500.0,"['暖气', '空调', '独卫', '浴缸']","['高安路淮海路', '2', '1', '图书馆地铁站10号线边上', '法租界黄金地段', '全地暖', '双层玻璃', '看房提前预约']",高安路2弄3号
108,108,黄浦-新天地 ,,长租,住宅/工作室,老洋房,整栋,99室9厅9卫,580平米,没有地址,999999999.0,"['暖气', '浴缸', '户外空间', '空调', '独卫', '阳台']",[],没有地址
109,109,徐汇-老法租界,巨鹿路266号,长租,住宅,老洋房,整栋,1室1厅1卫,52平米,巨鹿路266号301,11800.0,"['空调', '户外空间', '独卫']","['巨鹿路266号3楼', '老洋房的三楼', '一室一厅', '近13号线淮海中路地铁站老板厨具', '嵌入式烤箱', '烘干洗衣机', '随时看']",巨鹿路266号
113,113,长宁-镇宁路,新海小区,长租,住宅,老公房,*/5层,1室1厅1卫,42平米,延安西路649弄70号304室,6800.0,"['空调', '独卫', '阳台', 'WIFI']","['新海小区', '延安西路649弄70号304室', '1', '1', '1', '42平', '全新精装', '全新家电家具配置', '首次出租的', '随时可以看房的', '请一定带上鞋套的', '租客5月8号到期']",延安西路649弄70号
114,114,静安-南京西路,美丽园,长租,住宅,老洋房,*/3层,1室1厅1卫,46平米,延安西路379弄26号101室,6800.0,"['空调', '独卫', 'WIFI']","['美丽园老洋房', '延安西路379弄26号101室', '1', '1', '1', '50平', '6800元', '月', '全新精装', '全新家电家具配置', '滚筒带烘干洗衣机', '60寸液晶电视', '100兆电信宽带', '看房随时', '请一定配合带上鞋套', '佣金百分之三十五', '租客5月初到期']",延安西路379弄26号
119,119,徐汇-老法租界,华亭路,长租,住宅,老洋房,整栋,6室2厅4卫,350平米,93,110000.0,"['暖气', '浴缸', '户外空间', '空调', '独卫', '阳台']","['房屋位于华亭路', '淮海中路', '面积350平', '花园100平', '可停3部车', '适合', '办公', '私人接待等', '看房方便']",93
122,122,徐汇-斜土路,平江大楼,长租,住宅,,整栋,1室1厅1卫,62平米,平江路25号107,7200.0,"['独卫', '空调']","['精装全配', '电梯房', '看房随时']",平江路25号
126,126,长宁-古北,虹桥美爵,长租,住宅,,*/31层,1室1厅1卫,60平米,仙霞路369弄2号806虹桥美爵,10500.0,"['浴缸', '户外空间', '', '', '空调', '独卫', '阳台', '暖气']","['新出', '五星涉外酒店式公寓', '中央空调', '全部精装', '近远东国际广场']",仙霞路369弄2号
128,128,黄浦-老西门,静修路50弄,长租,住宅,新式里弄,*/3层,1室1厅1卫,25平米,静修路50弄1号203室,4500.0,"['独卫', '空调']","['静修路50弄1号203室', '老西门地铁口', '看房提前约']",静修路50弄1号
129,129,静安-静安寺,裕华新村,长租,住宅,老洋房,*/3层,4室2厅2卫,180平米,富民路182弄28号3楼,35000.0,"['暖气', '户外空间', '空调', '浴缸']","['富民路近长乐路', '3', '1房2厅2卫', '报价35k', '三楼复4楼', '一门关', '露台35平', '客厅层高5', '5米', '6', '14空出', '全屋墙暖', '卫生间地暖', '4', '19日晚19', '00可预约看房']",富民路182弄28号
132,132,徐汇-老法租界,陕西南路582弄,长租,住宅,新式里弄,*/3层,1室0厅1卫,25平米,陕西南路582弄,4300.0,"['暖气', '空调', '独卫']","['法租界小房子', '装修干净整洁', '合作房源', '佣金各收', '卫生间套外独用', '没有煤气做饭', '适合一到两人', '经常做饭的客户就不用问了', '房子朝南的', '看房提前一个小时电话', '我来开门有钥匙']",陕西南路582弄
133,133,黄浦-打浦桥,,长租,住宅,老公房,*/5层,2室2厅1卫,60平米,炎虹路76弄13号,9500.0,"['空调', '', '', '', '']","['打浦桥地铁', '公房5楼', '60平', '2房2厅1卫', '待租', '中介帮推']",炎虹路76弄13号
137,137,长宁-镇宁路,新海小区,长租,住宅,老公房,*/5层,1室1厅1卫,50平米,延安西路649弄60号101室,7800.0,"['空调', '独卫']","['长宁区新海小区', '延安西路649弄60号101室', '1', '1', '1', '50平', '7800元', '月', '全新精装', '全新家电家具', '二台50寸液晶电视', '滚筒带烘干洗衣机', '电信100兆高速宽带', '首次出租的', '智能密码锁', '看房请带上鞋套', '提前一天预约', '佣金百分之三十五', '租客5月14号到期']",延安西路649弄60号
141,141,黄浦-淮海中路,荣业里,长租,住宅/工作室,新式里弄,整栋,4室2厅3卫,190平米,淮海中路606弄23号,45000.0,"['暖气', '浴缸', '户外空间', '空调', '独卫', '阳台']","['淮海中路606弄23号', '出租45000', '月', '看房提前一天预约', '随时可以起租', '欢迎住家', '工作室', '私人办公', '私人定制']",淮海中路606弄23号
146,146,静安-南京西路,中实新村,长租,住宅,新式里弄,*/3层,1室1厅1卫,50平米,愚园路579弄16号二楼,9800.0,"['户外空间', '空调', '独卫', '阳台']",[],愚园路579弄16号
150,150,黄浦-人民广场,祥康里,长租,住宅,新式里弄,*/3层,1室1厅1卫,35平米,新昌路119弄16号308,6000.0,"['空调', '独卫']","['新昌路119弄16号308', '朝南', '租客4月17号到期', '看房提前约']",新昌路119弄16号
151,151,黄浦-人民广场,四川中路592号,长租,住宅,新式里弄,*/4层,1室2厅1卫,50平米,四川中路592号后门4楼,7000.0,"['独卫', '空调']",['看房随时'],四川中路592号
152,152,静安-南京西路,慈惠北里,长租,住宅,新式里弄,*/0层,1室0厅1卫,30平米,威海路830号后门3楼,6000.0,"['独卫', '空调']","['租客4月27号到期', '能接受入住时间的', '看房提前约']",威海路830号
153,153,黄浦-人民广场,滇池路120号,长租,住宅,老公房,*/5层,2室2厅1卫,75平米,滇池路120号302室,15000.0,"['户外空间', '', '空调']","['地址', '滇池路120号302室', '房型', '2房2厅1厨1卫', '1房加1书房', '客厅挑高4', '2米', '配置', '智能化家居', '全屋墙暖', '中央空调', '遥控窗帘', 'SIEMENS电器', '全屋实木地板与家具', '目前上海市人民政府1994年2月15日颁发为', '历史建筑', '既是文物又是保护建筑', '珍藏老上海传世到永恒']",滇池路120号
156,156,长宁-中山公园,,长租,住宅,老公房,*/6层,1室2厅1卫,55平米,长宁支路318弄4号403,11800.0,"['暖气', '户外空间', '空调', '阳台', '独卫']","['江苏路地铁一房两厅', '租金11800元', '月', '随时看房']",长宁支路318弄4号
157,157,长宁-中山公园,,长租,住宅/工作室,老公房,*/6层,1室1厅1卫,50平米,武夷路519弄53号102,7600.0,"['独卫', '空调', '户外空间', '阳台']","['中山公园5分钟', '1楼带院子']",武夷路519弄53号
158,158,静安-静安寺,,长租,住宅,新式里弄,*/3层,1室1厅1卫,55平米,康定路863弄,10800.0,"['户外空间', '空调', '独卫']","['昌平路附近5分钟', '康定路胶州路路口', '武定路酒吧街零距离', '精装修', '带户外', '正规一房一厅带储物间', '静安寺商圈10分钟到达', '拎包即可入住']",康定路863弄
171,171,徐汇-老法租界,西爱邨,长租,住宅,新式里弄,*/3层,1室1厅1卫,40平米,西爱邨 永嘉路19弄4号后门201室,6000.0,"['', '独卫', '空调', 'WIFI']","['客户转租付佣', '黄浦区', '西爱邨', '永嘉路19弄4号后门201室靠近瑞金医院附近', '一房一厅一卫', '40平方米', '租金报价6000元看房每天下午方便']",西爱邨 永嘉路19弄4号
173,173,静安-南京西路,静安别墅,长租,住宅,老洋房,*/3层,1室1厅1卫,60平米,南京西路1025弄25号,13000.0,"['暖气', '空调', '独卫']","['南京西路一房一厅', '中央空调', '洗烘一体', '中央空调', '付佣金']",南京西路1025弄25号
183,183,静安-南京西路,句容小区,长租,住宅/工作室,新式里弄,整栋,1室1厅1卫,55平米,海防路100弄5号102,6500.0,"['户外空间', '空调', '独卫', '阳台', 'WIFI']","['苏州河边安逸社区', '全新智能联网家电', '滚筒洗衣机', '卫浴分离', '周边有沿河走廊跑道', '菜场', '生活气息浓厚', '小区第一排', '出行方便', '汉中路地铁', '江宁路地铁', '有客户看房打电话', '中介公司没客户别打跟进', '谈价佣金降低', '7000一个月100', '佣金', '谈价最低50', '诚意出租闲问勿扰']",海防路100弄5号
187,187,静安-静安寺,愚园路483弄,长租,住宅,新式里弄,*/3层,1室1厅1卫,70平米,愚园路483弄24号402室,11000.0,"['空调', '独卫']","['全佣', '30', '个佣', '特价11000元', '月', '愚园坊愚园路483弄24号402室近乌鲁木齐路', '一房二厅一卫', 'loft风格', '带浴缸', '面积70平', '近静安寺地铁站步行5', '8分钟']",愚园路483弄24号
189,189,静安-南京西路,,长租,住宅,新式里弄,*/4层,2室2厅1卫,110平米,南京西路984号4楼,16500.0,"['暖气', '空调']","['物业位置位于南京西路茂名南路口', '距恒隆广场', '中信泰富', '梅龙镇所形成的', '金三角', '步行3分钟', '离吴江路小吃街几乎零距离', '经典LOFT两房两厅一卫', '全新涉外装修', '全屋墙暖', '距地铁两号线100米', '5', '5空出', '看房方便', '报价16', '5K']",南京西路984号
191,191,徐汇-衡山路,,长租,住宅/工作室,老公房,*/2层,3室2厅2卫,160平米,乌鲁木齐南路1号八一大院,32000.0,"['暖气', '', '浴缸', '', '空调', '', '', '', '']","['押二付二', '三房两厅两卫', '100寸投影', '开放式厨房', '两卧室朝南', '墙暖中央空调', '全新家电首次出租', '层高3', '2m', '带车位', '本小区为军队物业', '不接外籍租客']",乌鲁木齐南路1号
202,202,徐汇-老法租界,芝兰坊,长租,住宅/工作室,老洋房,*/1层,1室0厅1卫,20平米,陕西南路271弄1号芝兰坊103室,3300.0,"['独卫', '空调', '']","['陕西南路271弄芝兰坊1号103室', '复式一小房一小厅', '楼上8平方', '楼下9平方', '套内厨卫', '小木屋风格装修', '租金', '3300元', '钥匙放在陕西南路287号', '中韵地产', '就在步高里小区门口中介']",陕西南路271弄1号
207,207,徐汇-老法租界,汾阳路,长租,住宅,老公房,*/5层,1室2厅1卫,72平米,汾阳路9弄7号汾阳路,13800.0,"['暖气', '户外空间', '', '空调', '独卫', '阳台', 'WIFI']","['曾与瑞典领事馆签约Hello', 'what', 'you', 'will', 'see', 'next', 'is', 'probably', 'the', 'most', 'luxurious', 'and', 'practical', 'residence', 'in', 'downtown', 'Shanghai', 'Large', 'French', 'window', 'let', 'whole', 'space', 'become', 'more', 'bright', 'Kitchen', 'toilet', 'used', 'door', 'window', 'of', 'iron', 'art', 'restoring', 'ancient', 'ways', 'promote', 'your', 'life', 'quality', 'Hand', 'painted', 'hand', 'painted', 'vintage', 'printing', 'ink', 'covers', 'the', 'floor', 'heating', 'of', 'the', 'whole', 'house', 'Meanwhile', 'the', 'design', 'of', 'central', 'air', 'conditioning', 'saves', 'space', 'and', 'makes', 'the', 'walls', 'cleaner', 'KOHLER', 'multi', 'functional', 'shower', 'equipment', 'and', 'TOTO', 'overall', 'washlet', 'sitting', 'toilet', 'care', 'for', 'your', 'every', 'inch', 'of', 'skin', 'feeling', 'We', 'use', 'the', 'hardest', 'rock', 'as', 'the', 'kitchen', 'countertops', 'efficient', 'range', 'hoods', 'and', 'cooktops', 'to', 'make', 'Chinese', 'cooking', 'a', 'pleasure', 'The', 'latest', 'fully', 'automatic', 'oven', 'can', 'also', 'meet', 'the', 'requirements', 'of', 'western', 'chefs', 'In', 'addition', 'to', 'the', 'formal', 'dining', 'table', 'provided', 'by', 'the', 'restaurant', 'we', 'have', 'added', 'a', 'simple', 'and', 'quick', 'dining', 'table', 'in', 'the', 'kitchen', 'structure', 'so', 'that', 'you', 'can', 'also', 'think', 'of', 'it', 'as', 'a', 'bar', 'The', 'most', 'expensive', 'Panasonic', 'home', 'freezer', 'can', 'keep', 'all', 'kinds', 'of', 'food', 'fresh', 'and', 'the', 'automatic', 'ice', 'making', 'function', 'is', 'also', 'very', 'considerate', 'In', 'order', 'to', 'save', 'space', 'we', 'equipped', 'SAMSNG', 'smart', 'washing', 'machine', 'with', 'drying', 'and', 'sterilization', 'function', 'Even', 'in', 'rainy', 'weather', 'we', 'can', 'do', 'all', 'the', 'laundry', 'at', 'home', 'The', 'bedroom', 'is', 'relatively', 'simple', 'the', 'union', 'of', 'American', 'type', 'big', 'bed', 'and', 'ambry', 'I', 'put', 'the', 'bedroom', 'in', 'a', 'quiet', 'direction', 'The', '80', 'inch', 'TV', 'allows', 'you', 'to', 'watch', 'big', 'movies', 'at', 'home', 'At', 'the', 'same', 'time', 'we', 'provide', 'you', 'with', 'free', 'network', 'services', 'A', 'limited', 'edition', 'calfskin', 'sofa', 'made', 'in', 'France', 'We', 'took', 'care', 'of', 'every', 'detail', 'not', 'the', 'pomp', 'More', 'warm', 'ideas', 'are', 'waiting', 'for', 'you', 'to', 'experience', 'The', 'property', 'is', 'conveniently', 'located', 'within', 'walking', 'distance', 'of', 'three', 'metro', 'stations', 'and', 'several', 'bus', 'routes', 'Of', 'course', 'we', 'can', 'provide', 'parking', 'space', 'if', 'you', 'need', 'Large', 'shopping', 'malls', 'and', 'high', 'end', 'entertainment', 'venues', 'are', 'also', 'distributed', 'around', 'the', 'property', 'The', 'price', 'given', 'here', 'is', 'inclusive', 'of', 'the', 'property', 'fee', 'There', 'is', 'an', 'extra', 'charge', 'if', 'you', 'need', 'regular', 'cleaning', 'or', 'other', 'services', 'I', 'am', 'very', 'glad', 'that', 'you', 'can', 'learn', 'about', 'this', 'property', 'I', 'am', 'not', 'an', 'agent', 'I', 'am', 'your', 'friend', 'from', 'Shanghai', '你好', '接下来你看到的可能是上海市中心地段', '装修最为豪华', '而且实用的住所', '超大落地窗', '让整个空间变得更为明亮', '厨房卫生间则采用了复古铁艺门窗', '提升您的生活品质', '复古印泥手工花转下覆盖了全屋地暖', '同时中央空调设计及节省了空间', '也使墙面变得更为整洁', 'KOHLER的多功能淋浴设备', '及TOTO整体卫洗丽坐便器', '呵护您每一寸肌肤的感受', '我们用最为坚硬的岩板作为厨房台面', '高效的油烟机及灶具让中式烹饪成为一种乐趣', '最新的全自动烤箱也能满足西式大厨的要求', '除了餐厅提供的正式餐桌外', '我们在厨房结构中加入了一张简易快餐桌', '让然您也可以将它视作一个吧台', '最为昂贵的Panasonic家用冰柜', '可接受各类食物的保鲜', '同时自动制冰功能也非常的贴心', '为了节省空间我们配备了带烘干与除菌功能的SAMSNG智能洗衣机', '即使在连续阴雨的天气里', '我们也能在家完成所有的衣物清洗工作', '卧室较为简单', '美式大床与橱柜的结合', '我将卧室朝向放在小区较为安静的方向', '80英寸的大电视让您在家即可观看大电影', '同时我们为您提供免费的网络服务', '产自法国的限量版小牛皮沙发', '再次提升您的生活品味', '我们用心处理了每一个细节', '而不是打造表面的浮夸', '更多温馨的构思等你来体验', '物业所在位置交通便利', '步行百米便可到达3条地铁站', '以及多条公交线路', '当然', '如果你有需要的话', '我们可以提供车位', '大型商场及高端娱乐场所也分布在物业周围', '这里给到您的价格是包涵物业费的价格', '如果您需要定期打扫或者其他服务的话', '是需要另外收费的', '很高兴您能了解到这套物业', '我不是中介', '我是您的朋友上海人']",汾阳路9弄7号
208,208,浦东-花木,,长租,住宅,,*/18层,3室2厅2卫,168平米,东绣路99弄20号702室,27000.0,"['', '暖气', '浴缸', '', '', '空调', 'WIFI', '', '', '', '', '']","['地铁2号线科技馆零距离紧邻世纪公园', '中央空调', '全屋地暖']",东绣路99弄20号
209,209,黄浦-淮海中路,复兴坊,长租,住宅/工作室,老洋房,*/3层,1室1厅1卫,60平米,59号1楼,13500.0,"['户外空间', '空调', '独卫', 'WIFI']","['一楼带院子', '调控层高', '精装修', '大金中央空调', '科勒整体厨卫', '手工老花砖', '落地老钢窗', '四门冰箱', '烘干一体滚筒洗衣机全新', '首次出租', '租客已经搬走', '保洁做好了', '院子15平已经整理规划好', '13500元', '月', '可短租长租']",59号
213,213,黄浦-淮海中路,,长租,住宅,老洋房,*/3层,2室1厅1卫,80平米,淮海坊,15800.0,"['', '', '暖气', '空调', '独卫', '阳台', 'WIFI']",['租客转租'],淮海坊
220,220,徐汇-老法租界,居仁里,长租,住宅/工作室,新式里弄,*/3层,1室1厅1卫,50平米,陕西南路271弄,6500.0,"['空调', '独卫', 'WIFI']",['看房提前约'],陕西南路271弄
222,222,徐汇-老法租界,,长租,住宅,老公房,*/6层,1室1厅1卫,45平米,复兴中路1315弄5号丁家弄小区,7500.0,"['暖气', '独卫', '户外空间', '阳台', '', '空调']","['复兴中路1315弄4号502', '1室1厅1卫1厨', '45平米', '7500底价中介费', '35房子朝南有阳台', '南北通透', '豪华高配', '烘干洗衣机', '烤箱', '冰箱', '电视', '宜家家居', '看房随时', '入住随时', '音乐学院对面']",复兴中路1315弄5号
224,224,黄浦-打浦桥,,长租,住宅,老公房,*/5层,2室2厅1卫,60平米,炎虹路76弄13号503室,10500.0,"['暖气', '', '空调', '', '', 'WIFI', '', '', '', '']","['近打浦桥地铁站', '近田子坊', '瑞金医院', '思南路']",炎虹路76弄13号
225,225,黄浦-打浦桥,,长租,住宅,,整栋,4室2厅2卫,168平米,局门路88弄16号2302室,50000.0,"['暖气', '', '浴缸', '空调', '', '', '', '', '', '', '']","['50K价格可以2倍佣金', '马当路地铁口', '附近大型商业街', '三甲医院', '学校', '中央空调', '全屋墙暖', '4房二厅二卫', '超大阳台', '洗哄一体式开放式厨房', '超大吧台一体桌', '专属女神服务', '超大阳台', '超安静', '小区环境比较宽敞', '适合有宠物客户', '所有人联系杨先生']",局门路88弄16号
233,233,长宁-江苏路,岐山村,长租,住宅/工作室,新式里弄,*/3层,2室1厅1卫,27平米,12号101,3890.0,"['独卫', '暖气']","['岐山村12号101室', '江苏路地铁站旁', '2个房间一个厅', '适合员工宿舍', '有空调', '卫生间套外独用', '厨房合用', '付佣金', '钥匙就在门口窗台上']",12号
245,245,徐汇-徐家汇,,长租,住宅,老公房,整栋,1室1厅1卫,42平米,乐山八九村,8000.0,"['', '', '', '', '', '']","['看房随时', '番禺路链家地产借钥匙']",乐山八九村
254,254,黄浦-其他,,长租,住宅,老洋房,*/2层,1室1厅1卫,40平米,南昌路100弄1号,6500.0,[''],"['精装全配', '近地铁']",南昌路100弄1号
262,262,静安-南京西路,达安城,长租,住宅,,*/28层,1室0厅1卫,40平米,新闸路777弄1号27A,6300.0,"['暖气', '浴缸', '户外空间', '空调', '独卫', '阳台', 'WIFI']","['房子是达安城1号27A', '看房随时可以看', '出门就是自然博物馆13号线地铁口', '雕塑公园', '全明户型的一房']",新闸路777弄1号
264,264,静安-南京西路,新福康里,长租,住宅,,*/7层,1室2厅1卫,70平米,新闸路888弄134号702,7800.0,"['暖气', '浴缸', '户外空间', '空调', '独卫', '阳台', 'WIFI']","['房子是新福康里134后702', '总高7楼的7楼', '阁楼属于附送的面积', '现在是一房俩厅的格局', '朝南的采光非常好', '价格看中可以谈', '看房非常方便', '随时可以看房']",新闸路888弄134号
285,285,徐汇-老法租界,,长租,住宅,,*/38层,2室2厅1卫,86平米,南昌路555弄a1,19500.0,[],[],南昌路555弄a1
306,306,徐汇-斜土路,,长租,住宅,,整栋,1室1厅2卫,78平米,斜土路1515号,13500.0,"['WIFI', '', '', '', '空调', '', '']",['base佰舍斜土路'],斜土路1515号
307,307,徐汇-徐家汇,南溪公寓,长租,住宅,新式里弄,*/26层,3室2厅2卫,160平米,天钥桥路380弄38号701室,5200.0,"['暖气', '浴缸', '空调', '独卫', '阳台', '户外空间']","['5200是独立卫生间单间', '客厅厨房共用', '总共住两人', '环境优越', '客厅没有隔断']",天钥桥路380弄38号
309,309,徐汇-老法租界,,长租,住宅,老洋房,*/3层,1室1厅1卫,17平米,永福路147弄61号,6800.0,"['暖气', '空调', '独卫']","['永福路靠近德国领事馆', '前门走路出行8分钟即达10号线', '上海图书馆站', '走路15分钟即达上海华山医院', '后门出去就是复兴中路乌鲁木齐中路', '周围环境小资', '但弄堂内闹中取静', '生活便利通达', '全屋地暖', '让生活更舒适']",永福路147弄61号
311,311,徐汇-老法租界,金巢铂瑞阁,长租,住宅,,整栋,1室1厅1卫,61平米,徐汇区合宝路18号,11500.0,"['空调', '独卫', 'WIFI']","['寓居服务公寓', '上海打浦桥店', '坐落于徐汇区优越地段', '靠近繁华的徐家汇商业广场', '淮海路商业街及徐汇滨江', '信步可至田子坊', '开放式的酒店大堂时尚现代', '宽敞现代的客房', '让你置身于四季如春的大自然怀抱中', '环保的青木组合家俬', '温馨系列客房用品', '雨林花洒淋浴间', '木质地板', '观景窗等', '无不让你倍感归家的温暖', '值得一提的是每间客房都配有可与手机双频的高端LED电视机', '娱乐与沟通变得更加立体与前卫', '更高速的wifi', '让您与世界沟通', '酒店健身房内有先进的健身器材供您休息锻炼放松自己', '作为综合商业街区的一部分', '公寓式酒店与高档住宅', '豪华写字楼及大型购物商场仅咫尺之遥', '公寓式房间套内面积较大并配有起居室和厨房', '储物等空间', '适合商务客人及其家眷中长期租住', '提供酒店式服务', '配备完善家具', '更有免费车位分别位于地下', '让你享受便捷的免费停车服务', '酒店立志于为住客提供温馨舒适的入住空间', '是您出游及参加各种商务活动的上佳选择']",徐汇区合宝路18号
322,322,长宁-中山公园,大家源新城,长租,住宅,新式里弄,*/22层,3室2厅2卫,110平米,大家源新城长宁区万航渡路2088弄5号702,15800.0,['空调'],"['已空出', '随时可看', '提前三十分钟联系']",大家源新城长宁区万航渡路2088弄5号
328,328,徐汇-老法租界,泰安小区,长租,住宅,老公房,整栋,2室2厅1卫,90平米,泰安路27弄3号202,15000.0,[],"['泰安路27弄三号楼202室', '全新装修房屋户型', '2室2厅1卫', '房屋配置', '涉外装修', '全装全配', '面积', '90平', '联系人', '高勇佣金1个月', '抱拳', '看房提前两个小时通知']",泰安路27弄3号
347,347,徐汇-老法租界,永安别业,长租,住宅/工作室,新式里弄,*/3层,4室2厅2卫,168平米,襄阳南路永嘉路,38000.0,"['暖气', '浴缸', '户外空间', '空调', '独卫', '阳台', 'WIFI']","['九宅作', '原法租界', '电瓶车充电', '步行至四条', '地铁1号', '9号', '10号', '12号线', '均在10分钟左右公寓', '4', '2', '2', '168M2', '全屋墙暖', '洗碗机', '烤箱', '带烘干洗衣机', '阳光户外', '租金', '38000', '月3月20日到期']",襄阳南路永嘉路
351,351,徐汇-老法租界,安福路,长租,住宅/工作室,老洋房,*/3层,2室1厅1卫,55平米,安福路229弄1楼,8000.0,"['暖气', '户外空间', '空调', '阳台', 'WIFI', '独卫']","['安福路住家工作室', '两间', '带院子', '安福路229弄', '8000元', '随时看房']",安福路229弄1楼
356,356,长宁-西郊,,长租,住宅,别墅,*/2层,4室2厅3卫,172平米,西郊华庭虹桥路1889弄,35000.0,"['暖气', '', '浴缸', '', '', '空调', '', '', '', '', '']","['西郊华庭叠墅', '首次出租', '全屋地暖中央空调', '5月底完工', '目前装修中']",西郊华庭虹桥路1889弄
362,362,徐汇-建国西路,,长租,住宅,新式里弄,*/3层,1室0厅1卫,8平米,建国西路307弄,2200.0,"['', '空调', '', '']",[],建国西路307弄
370,370,静安-江宁路,,长租,住宅,老公房,*/7层,2室1厅1卫,68平米,句容小区,8800.0,"['', '空调', '', '', '']","['房型南北向', '采光日照好', '临近13号地铁江宁路站5分钟']",句容小区
371,371,长宁-江苏路,,长租,住宅,老公房,*/6层,1室0厅1卫,36平米,安化路111弄,7600.0,[],['寻找稳定高素质房客'],安化路111弄
