,Unnamed: 0,district,complex_name,rental_period,use_type,building_type,floor,layout,sqmeters,address,price,amenities,descript,address_translate
6657,6657,浦东-三林,浦发绿城,长租,住宅,老公房,*/6层,2室2厅1卫,80平米,永泰路2079弄5号浦发绿城,5940.0,"['', '空调', '独卫', '阳台']","['vvv三彩家租房诚意推荐', '精品装修', '拎包入住', '真实房源价格', '家具家电全配', '品质小区', '出行方便', '看房随时联系', '个人客户无介绍费用', '中介合作付佣金', '欢迎各位精英带客户看房', '电话']",永泰路2079弄5号
6664,6664,徐汇-老法租界,高安路6弄138号,长租,住宅,老公房,*/4层,4室2厅2卫,160平米,高安路6弄2号高安路6弄138号,42000.0,"['暖气', '', '空调', '独卫', '阳台']","['3楼整层', '楼道干净整洁']",高安路6弄2号
6668,6668,普陀-桃浦,同进理想城,长租,住宅,,*/9层,1室1厅1卫,42平米,桃浦金通路1118号8栋同进理想城,4070.0,"['', '', '空调', '独卫', '阳台']","['只有租客好', '符合要求', '价格可以谈']",桃浦金通路1118号
6670,6670,浦东-源深,浦东大道1638,长租,住宅,,*/29层,2室1厅1卫,64平米,浦东大道路1号1栋浦东大道1638,8360.0,"['户外空间', '', '', '空调', '独卫', '阳台']","['只有租客好', '符合要求', '价格可以谈']",浦东大道路1号
6671,6671,浦东-源深,东晶国际公寓,长租,住宅,,*/18层,1室2厅1卫,72平米,浦东大道路988弄4号东晶国际公寓,8800.0,"['', '户外空间', '', '空调', '独卫', '阳台']","['只有租客好', '符合要求', '价格可以谈']",浦东大道路988弄4号
6675,6675,浦东-源深,乳山路200弄1幢,长租,住宅,老公房,*/6层,2室2厅1卫,88平米,乳山路200弄33号乳山路200弄1幢,9130.0,"['阳台', '', '', '户外空间', '空调', '独卫']","['只有租客好', '符合要求', '价格可以谈']",乳山路200弄33号
6678,6678,普陀-长寿路,新长征花苑,长租,住宅,老公房,*/6层,1室1厅1卫,47平米,清峪路81弄16号新长征花苑,5060.0,"['空调', '独卫', '', '户外空间', '阳台']","['只有租客好', '价格可以谈']",清峪路81弄16号
6681,6681,徐汇-徐家汇,,长租,住宅,老公房,*/6层,1室1厅1卫,35平米,宜山路250弄25号,7400.0,"['', '空调', '独卫']",['看房随时'],宜山路250弄25号
6682,6682,徐汇-老法租界,,长租,住宅/工作室,新式里弄,*/4层,2室2厅2卫,135平米,淮海中路1200弄1号淮海中路1200弄,19500.0,"['暖气', '独卫', '', '空调', 'WIFI']",['淮海中路1200弄3复4楼整层提前1天约'],淮海中路1200弄1号
6683,6683,静安-南京西路,,长租,住宅/工作室,老洋房,*/4层,3室2厅2卫,130平米,南京西路1081弄58号,28000.0,"['暖气', '户外空间', '', '空调', 'WIFI', '阳台', '独卫']","['OPUSONE精品房源', '南京西路商圈0距离', '百年老饭店梅陇镇0距离', '交通便利', '地铁2', '12号线', '三', '一房二厅二卫', '带阳台', '全屋墙暖', '配高档家电', '如烤箱', '洗碗机', '分离式', '洗衣机', '烘干机等', '满佣', '涉外售后', '提前一天约', '联系人', 'Echo', 'Shen']",南京西路1081弄58号
6688,6688,普陀-武宁,普陀四村,长租,住宅,老公房,*/6层,1室1厅1卫,37平米,白玉路40号59栋普陀四村,4091.0,"['', '空调', '独卫', '阳台']","['靠近地铁3', '4', '11', '号线', '周边配套有环球港', '汇融广场美食城', '交通便利', '小区楼下路口就是菜市场', '生活非常方便', '周边都是高档小区']",白玉路40号
6691,6691,徐汇-斜土路,,长租,住宅/工作室,老公房,整栋,1室0厅1卫,30平米,茶陵路345弄27号,3400.0,"['浴缸', '户外空间', '', '', '空调', '独卫', '阳台']","['茶陵路345弄', '靠近徐汇区大木桥路茶陵路口', '地铁四号线大木桥路站', '12号线嘉善路站', '直达', '小区门口五分钟步行距离', '并有多条公交线路', '104路', '932路', '45路等', '小区环境好', '小区门口就有超市', '社区生活中心等设施', '生活便利', '本房型为一室户户型', '宽敞明亮', '最适合年轻白领等对生活品质有一定要求的人群', '注明', '本人为房东', '诚意出租', '本房源为普通装修房', '含简易家具', '租赁合同时限可协商', '付三押一', '有意者可随时联系', '谢绝二房东与群租', '有意者请联系']",茶陵路345弄27号
6713,6713,静安-不夜城,企业公馆,长租,住宅/工作室,,*/27层,3室2厅3卫,203平米,静安区共和219号企业公馆,35000.0,"['浴缸', '', '空调', '独卫', '阳台', 'WIFI']","['企业公馆处在5条地铁线路位置', '1', '12', '13', '3', '4号线', '出行非常方便', '精装修智能化酒店式公寓', '自己又在精装修基础上进行了再精装', '三个房间是大三房', '全屋落地大玻璃窗', '视野开阔', '全屋地暖', '中央空调', '附近菜场商场齐全', '生活特别方便']",静安区共和219号
6719,6719,徐汇-徐家汇,龙山新村,长租,住宅,老公房,*/6层,1室1厅1卫,35平米,中山南二路988弄99号龙山新村,7300.0,"['', '空调', '独卫', '阳台']","['全新装修', '首次出租', '进地铁']",中山南二路988弄99号
